sim_time,module,x,y,speed,acceleration
6.1,car[0],239.123,131.393,19.8973,-0.315259
6.1,car[1],206.404,105.573,11.6363,-0.126049
6.2,car[0],240.538,132.785,19.853,-0.442934
6.2,car[1],207.366,106.225,11.6219,-0.143966
6.3,car[0],241.684,134.411,19.8907,0.376992
6.3,car[1],208.331,106.878,11.6538,0.319392
6.4,car[0],242.828,136.033,19.8512,-0.395006
6.4,car[1],209.299,107.532,11.6799,0.260651
6.5,car[0],243.978,137.662,19.9408,0.895085
6.5,car[1],210.268,108.188,11.7033,0.234705
6.6,car[0],245.126,139.29,19.9226,-0.181025
6.6,car[1],211.239,108.845,11.7241,0.207361
6.7,car[0],246.271,140.913,19.8615,-0.611318
6.7,car[1],212.216,109.507,11.8027,0.786665
6.8,car[0],247.42,142.543,19.9417,0.80152
6.8,car[1],213.2,110.172,11.8783,0.755129
6.9,car[0],248.493,144.218,19.8937,-0.480098
6.9,car[1],214.19,110.842,11.9529,0.746147
7,car[0],249.418,145.984,19.9325,0.388259
7,car[1],215.186,111.516,12.0265,0.736481
7.1,car[0],250.343,147.753,19.9602,0.276754
7.1,car[1],216.188,112.194,12.0992,0.726974
7.2,car[0],251.264,149.512,19.8603,-0.998297
7.2,car[1],217.196,112.876,12.171,0.717581
7.3,car[0],252.188,151.277,19.9222,0.619176
7.3,car[1],218.21,113.562,12.2418,0.708305
7.4,car[0],253.111,153.041,19.9,-0.222138
7.4,car[1],219.23,114.252,12.3117,0.699159
7.5,car[0],254.032,154.801,19.8748,-0.252233
7.5,car[1],220.255,114.946,12.3807,0.690128
7.6,car[0],254.947,156.58,19.9972,1.22347
7.6,car[1],221.286,115.644,12.4489,0.681214
7.7,car[0],255.807,158.375,19.9122,-0.849656
7.7,car[1],222.323,116.345,12.5161,0.672403
7.8,car[0],256.668,160.173,19.9264,0.142398
7.8,car[1],223.365,117.05,12.5825,0.663722
7.9,car[0],257.53,161.973,19.9586,0.321799
7.9,car[1],224.413,117.759,12.648,0.655143
8,car[0],258.392,163.773,19.958,-0.00582637
8,car[1],225.412,118.538,12.6738,0.258033
8.1,car[0],259.25,165.566,19.8792,-0.788051
8.1,car[1],226.342,119.409,12.7396,0.657627
8.2,car[0],260.111,167.364,19.9331,0.539033
8.2,car[1],227.276,120.285,12.803,0.634323
8.3,car[0],260.973,169.163,19.9508,0.176875
8.3,car[1],228.214,121.165,12.8657,0.626676
8.4,car[0],261.833,170.959,19.9066,-0.442478
8.4,car[1],229.157,122.049,12.9275,0.618556
8.5,car[0],262.521,172.813,19.7774,-1.29195
8.5,car[1],230.105,122.937,12.9886,0.610573
8.6,car[0],262.936,174.761,19.9256,1.48223
8.6,car[1],231.057,123.83,13.0488,0.602679
8.7,car[0],263.351,176.707,19.8929,-0.326661
8.7,car[1],232.013,124.727,13.1083,0.594902
8.8,car[0],263.767,178.654,19.9108,0.178414
8.8,car[1],232.974,125.627,13.167,0.587215
8.9,car[0],264.183,180.603,19.9282,0.17465
8.9,car[1],233.938,126.532,13.225,0.579631
9,car[0],264.599,182.553,19.9375,0.0921672
9,car[1],234.907,127.44,13.2822,0.572138
9.1,car[0],265.014,184.498,19.8862,-0.512455
9.1,car[1],235.88,128.352,13.3387,0.564749
9.2,car[0],265.431,186.453,19.9957,1.0949
9.2,car[1],236.853,129.265,13.3378,-0.00880746
9.3,car[0],265.847,188.404,19.9401,-0.555575
9.3,car[1],237.827,130.177,13.3404,0.0260584
9.4,car[0],266.263,190.352,19.9237,-0.16431
9.4,car[1],238.8,131.09,13.3428,0.0234034
9.5,car[0],266.663,192.3,19.8826,-0.410631
9.5,car[1],239.773,132.003,13.3451,0.023059
9.6,car[0],266.915,194.276,19.9257,0.430999
9.6,car[1],240.677,132.983,13.339,-0.0605662
9.7,car[0],267.167,196.248,19.8734,-0.523932
9.7,car[1],241.45,134.078,13.397,0.580087
9.8,car[0],267.42,198.231,19.9989,1.25564
9.8,car[1],242.225,135.177,13.4519,0.549084
9.9,car[0],267.673,200.213,19.9744,-0.245163
9.9,car[1],243.004,136.281,13.5062,0.542856
10,car[0],267.925,202.188,19.9094,-0.650012
10,car[1],243.783,137.386,13.5161,0.0985931
10.1,car[0],268.177,204.162,19.9026,-0.0676825
10.1,car[1],244.562,138.491,13.5284,0.12337
10.2,car[0],268.558,206.114,19.8836,-0.190642
10.2,car[1],245.343,139.598,13.5403,0.119284
10.3,car[0],268.99,208.058,19.9179,0.343187
10.3,car[1],246.126,140.709,13.595,0.546603
10.4,car[0],269.423,210.007,19.9712,0.532873
10.4,car[1],246.913,141.824,13.6474,0.523779
10.5,car[0],269.857,211.957,19.9756,0.0438557
10.5,car[1],247.703,142.943,13.6991,0.517589
10.6,car[0],270.29,213.906,19.968,-0.0758469
10.6,car[1],248.434,144.104,13.7215,0.223545
10.7,car[0],270.664,215.864,19.9289,-0.390751
10.7,car[1],249.071,145.322,13.7451,0.235658
10.8,car[0],271.034,217.829,19.995,0.661392
10.8,car[1],249.709,146.542,13.7681,0.22996
10.9,car[0],271.403,219.79,19.9508,-0.442218
10.9,car[1],250.349,147.764,13.7906,0.225465
11,car[0],271.772,221.75,19.9436,-0.0720609
11,car[1],250.991,148.99,13.8415,0.509227
11.1,car[0],272.14,223.702,19.863,-0.805755
11.1,car[1],251.635,150.221,13.8907,0.492119
11.2,car[0],272.509,225.664,19.966,1.02966
11.2,car[1],252.281,151.456,13.9393,0.48615
