Realtime [sec],Sim Time [sec],Sim Time from MPC [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.0,0.011116981506347656,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1230241670000396,0.3,0.0,0.01119089126586914,20.0,0.0,0.0,0.0,226.619,0.0,0.0,0.0,0.0
0.13641473400002724,0.4,0.0,0.013131141662597656,20.0,0.0,0.0,0.0,226.619,0.0,0.0,0.0,0.0
0.22000840999953652,0.5,0.0,0.01452946662902832,20.0,0.0,0.0,0.0,226.619,0.0,0.0,0.0,0.0
0.3199464909994276,0.6,0.4000000059604645,0.01381063461303711,20.0,0.0,0.0,0.0,226.619,0.0,0.0,0.0,-0.27624383568763733
0.41952558399952977,0.7,0.6000000238418579,0.009184837341308594,20.0,0.0,0.0,0.0,1.6278895415018313,0.0,0.026243822649121284,0.26243822649121284,-0.27335283160209656
0.5157298089998221,0.8,0.6000000238418579,0.01014852523803711,20.0,0.0,0.0,0.0,1.62742271785578,0.0,0.02335282973945141,-0.02890992909669876,-0.2756904065608978
0.615260930999284,0.9,0.800000011920929,0.008660554885864258,20.0,0.0,0.0,0.0,1.627207651767925,0.0,0.02569040097296238,0.02337571233510971,0.07879796624183655
0.7162057509995066,1.0,0.800000011920929,0.008680582046508789,20.0,0.0,0.0,0.0,1.6269994141558155,0.0,0.028852107003331184,0.03161706030368805,0.07938399910926819
0.814498547999392,1.1,1.0,0.009674549102783203,20.0,0.0,0.0,0.0,1.6270282266156844,0.0,0.027225421741604805,-0.016266852617263794,0.0796116441488266
0.9166374679998626,1.2,1.100000023841858,0.0076520442962646484,20.0,0.0,0.0,0.0,1.6269794694449884,0.0,0.02564498968422413,-0.015804320573806763,0.0785713642835617
1.1144631849992948,1.3,1.100000023841858,0.006472110748291016,20.0,0.0,0.0,0.0,1.6265630560169284,0.0,0.0262288860976696,0.005838964134454727,0.0785713642835617
1.1251881029993456,1.4,1.100000023841858,0.00828862190246582,20.0,0.0,0.0,0.0,1.6265630560169284,0.0,0.0262288860976696,0.0,0.07937419414520264
1.2156426679994183,1.5,1.399999976158142,0.008172273635864258,20.0,0.0,0.0,0.0,1.6267016493560662,0.0,0.029749924317002296,0.03521038219332695,0.08041030913591385
1.314185532999545,1.6,1.399999976158142,0.008872270584106445,20.0,0.0,0.0,0.0,1.626851211513708,0.0,0.027511555701494217,-0.022383686155080795,0.07979877293109894
1.4160769769996477,1.7,1.600000023841858,0.008865833282470703,20.0,0.0,0.0,0.0,1.626954411101874,0.0,0.02316518872976303,-0.04346366971731186,0.07856138795614243
1.5159822739997253,1.8,1.600000023841858,0.008577108383178711,20.0,0.0,0.0,0.0,1.6269047115397286,0.0,0.0263492614030838,0.0318407267332077,0.07914100587368011
1.6161664669998572,1.9,1.7999999523162842,0.007982254028320312,20.0,0.0,0.0,0.0,1.6272935175330494,0.0,0.029488829895853996,0.03139568492770195,0.07973160594701767
1.7150825689996054,2.0,1.7999999523162842,0.008507490158081055,20.0,0.0,0.0,0.0,1.6276726524272405,0.0,0.028240863233804703,-0.012479666620492935,0.07960090786218643
1.8149011440000322,2.1,2.0,0.008743524551391602,20.0,0.0,0.0,0.0,1.6280080665378218,0.0,0.024853207170963287,-0.033876560628414154,0.07889066636562347
1.915959897999528,2.2,2.0,0.00876474380493164,20.0,0.0,0.0,0.0,1.6282852532160985,0.0,0.027477873489260674,0.02624666318297386,0.07951861619949341
2.015448680999725,2.3,2.200000047683716,0.008291959762573242,20.0,0.0,0.0,0.0,1.628024025396292,0.0,0.028786374256014824,0.013085007667541504,0.07868451625108719
2.215442250999331,2.4,2.200000047683716,0.007311820983886719,20.0,0.0,0.0,0.0,1.627109272280284,0.0,0.02724488452076912,-0.015414897352457047,0.07868451625108719
2.226454012999966,2.5,2.4000000953674316,0.009094715118408203,20.0,0.0,0.0,0.0,1.627109272280284,0.0,0.02724488452076912,0.0,0.07866929471492767
2.3149412639995717,2.6,2.4000000953674316,0.008654117584228516,20.0,0.0,0.0,0.0,1.6266955933323297,0.0,0.027662718668580055,0.00417834147810936,0.07999498397111893
2.4158181220000188,2.7,2.5999999046325684,0.008011341094970703,20.0,0.0,0.0,0.0,1.6266320823282943,0.0,0.028397105634212494,0.007343869656324387,0.07979986816644669
2.5149433069991574,2.8,2.5999999046325684,0.00853419303894043,20.0,0.0,0.0,0.0,1.6263651692617151,0.0,0.028537746518850327,0.0014064088463783264,0.07852253317832947
2.615695319999759,2.9,2.799999952316284,0.00850820541381836,20.0,0.0,0.0,0.0,1.6262002044110506,0.0,0.02776293270289898,-0.0077481381595134735,0.08029602468013763
2.71554366700002,3.0,2.799999952316284,0.009292840957641602,20.0,0.0,0.0,0.0,1.6260231275129118,0.0,0.027304762974381447,-0.0045816972851753235,0.08050140738487244
2.8163916679995964,3.1,3.0,0.008483648300170898,20.0,0.0,0.0,0.0,1.6262634218833225,0.0,0.027976851910352707,0.006720889359712601,0.08147256076335907
