10,10.7448,7.1485,118.8309,11.3909
20,21.4106,14.2778,133.1859,16.0531
30,44.2987,21.2684,203.7279,32.0013
40,52.7472,29.2068,285.4073,59.8625
50,61.9109,36.431,376.5119,86.2908
60,70.4883,42.4113,287.6397,38.1744
70,78.2281,50.0774,277.3063,37.717
80,89.9173,57.4411,278.2821,39.9526
90,98.8504,66.0104,362.0525,40.3644
100,109.6248,73.3427,307.8529,42.7286
110,118.2468,80.3155,307.1651,42.4778
120,127.234,88.7355,315.1993,43.7893
130,136.9774,92.8303,320.4398,45.1494
140,146.1736,102.9767,505.9843,48.6069
150,158.3718,110.9677,359.8108,47.5254
160,159.7332,117.1564,335.6458,39.4365
170,177.2145,134.3668,329.5668,40.7025
180,200.9598,151.1975,362.229,42.7085
190,224.4918,176.0193,393.3531,42.1095
200,242.8056,186.7748,428.703,43.4691
210,270.4439,215.5838,469.5654,46.7602
220,289.9849,226.0212,476.4113,46.6641
230,315.3307,242.9976,542.446,46.9092
240,344.7184,268.9287,510.9432,50.3783
250,366.7981,283.0332,515.0316,49.5012
260,381.3223,293.0243,535.5401,50.8272
270,408.4547,323.7243,614.3163,50.7282
280,428.5281,340.8042,595.7257,50.7493
290,445.6781,355.6467,616.1292,51.0392
300,467.1995,369.7974,640.2074,54.6344
