10,0.4209,0.3633,0.8216,0.0913
20,0.4239,0.3819,1.0886,0.0987
30,0.4476,0.3896,0.7541,0.0821
40,0.416,0.3877,0.6192,0.0443
50,0.4372,0.4015,0.6654,0.0529
60,0.5506,0.4027,0.9706,0.1476
70,0.4657,0.4106,1.0536,0.1047
80,0.534,0.416,1.0264,0.1317
90,0.516,0.4206,1.0443,0.1179
100,0.5302,0.4289,0.8464,0.123
110,0.4902,0.4365,0.7463,0.0739
120,0.4953,0.4373,0.7925,0.0743
130,0.4692,0.4432,0.7904,0.0512
140,0.4927,0.4613,0.7403,0.0477
150,0.5014,0.4668,0.7453,0.0581
160,0.4959,0.4706,0.7792,0.0478
170,0.5335,0.474,1.0135,0.091
180,0.5128,0.4838,0.8018,0.0427
190,0.5879,0.4983,1.276,0.1492
200,0.5255,0.4952,0.874,0.0597
210,0.5444,0.4997,0.8025,0.0663
220,0.5507,0.5181,0.8032,0.051
230,0.5466,0.5164,0.7668,0.0475
240,0.5684,0.5257,1.1032,0.0787
250,0.5563,0.5231,0.8597,0.0525
260,0.5661,0.5403,0.7882,0.0451
270,0.5759,0.5467,0.8557,0.0556
280,0.5839,0.5484,0.8271,0.0503
290,0.5927,0.5624,0.8905,0.0516
300,0.5884,0.5636,0.7827,0.0343
