10,5.1866,3.1425,108.687,7.2752
20,8.5536,5.6023,111.4477,9.4006
30,12.1485,8.248,115.68,11.2157
40,15.9111,11.0145,120.4021,13.3665
50,19.9928,13.7265,124.5929,14.5361
60,23.3242,16.4556,126.9908,15.6535
70,26.306,18.7511,128.971,16.4158
80,29.4955,21.2092,134.6527,17.6858
90,33.3437,23.5715,137.4832,18.4929
100,36.6246,26.1902,142.0712,19.3667
110,39.1554,28.7399,139.7628,19.3504
120,42.1609,30.3383,146.7891,20.5585
130,47.148,36.1052,154.0824,21.5838
140,48.9943,38.0319,151.3303,22.0306
150,52.4511,37.0882,161.2818,22.5974
160,56.4326,44.0892,164.129,23.028
170,58.4702,44.7735,168.3458,23.6608
180,61.7756,46.9479,170.4235,24.2967
190,64.9327,51.5289,163.6365,24.4809
200,68.7141,53.9229,170.1765,25.241
210,69.0008,53.951,171.839,25.3628
220,73.0735,57.7999,177.345,26.1989
230,75.5619,58.8592,182.1947,26.1345
240,79.7784,62.9152,190.8516,27.0297
250,82.5172,64.2109,179.5245,27.3411
260,86.6938,68.7237,187.6186,28.17
270,88.876,70.9351,189.6668,28.4565
280,93.3192,74.4386,200.0074,28.819
290,96.8581,77.3056,209.1727,30.1423
300,102.6217,75.1647,213.1662,30.8969
