10,11.4096,10.926,12.291,0.2744
20,23.5877,22.754,24.3602,0.5836
30,36.0382,34.3699,45.9476,1.4845
40,47.9545,45.6104,49.0272,1.1981
50,58.8878,57.482,61.2869,1.1966
60,69.7116,68.8775,70.9419,0.4186
70,81.1215,80.1115,86.2322,0.969
80,94.5813,92.185,102.4268,2.4945
90,105.4833,103.3483,112.3049,2.0802
100,119.3046,115.2258,141.8831,3.8739
110,131.0387,125.9577,144.2404,4.5532
120,142.1389,137.3925,148.7732,2.9724
130,154.3454,149.2393,167.1474,3.7145
140,165.2558,160.105,176.8694,4.2012
150,170.8559,168.2343,178.3161,1.1763
160,185.4063,179.4398,201.0207,4.773
170,202.5974,196.0955,213.0971,4.769
180,220.2324,211.997,242.512,5.7731
190,236.2958,226.8775,246.4731,4.1863
200,251.5154,244.0574,264.0982,5.2771
210,268.015,258.1019,280.1485,5.296
220,283.6205,272.5782,303.5266,6.3173
230,298.7107,288.5725,321.8684,5.5942
240,311.5471,304.3447,334.7349,5.0819
250,332.1261,319.5097,351.6927,8.0133
260,344.0535,335.1791,370.7635,6.7875
270,361.7633,352.0319,381.197,6.6311
280,374.0574,365.0992,390.7182,7.6669
290,396.1193,381.355,421.9553,9.5078
300,405.8846,395.3226,434.5205,8.5889
2,1.9961,1.5986,4.6413,0.3765
2,2.0018,1.5786,5.1479,0.3811
2,2.0357,1.6358,4.7739,0.3813
2,2.1368,1.4927,4.6308,0.4784
2,1.9736,1.5795,4.5695,0.3678
2,2.1359,1.6432,4.4632,0.412
2,2.4762,1.6611,5.6789,0.4327
2,1.9578,1.5502,4.6329,0.3907
2,1.8516,1.4434,4.0259,0.4151
2,1.9716,1.5512,4.3366,0.3893
2,2.0554,1.5662,4.3464,0.4101
2,1.9797,1.5438,4.607,0.4156
2,1.9073,1.4455,4.6222,0.4489
