10,8.7861,6.4654,112.7901,10.3972
20,16.5364,12.7485,121.6165,13.4025
30,25.0196,18.6526,131.8799,16.317
40,33.4542,25.7854,140.3719,18.9202
50,40.1762,30.5647,140.7712,20.0071
60,48.908,37.7528,160.3356,22.3564
70,55.4908,42.2962,166.583,23.6182
80,63.2479,48.7471,175.2626,24.834
90,71.7693,57.5062,177.6904,26.2276
100,78.9514,62.4695,185.6601,27.0129
110,85.6558,65.8155,190.8389,27.9565
120,93.6243,74.3294,204.3116,29.5387
130,101.3154,80.0913,209.1027,30.5383
140,108.8161,87.4585,217.1424,30.8904
150,114.1271,91.8517,217.6063,31.4438
160,122.4445,98.1017,240.4243,32.6002
170,125.8581,103.0767,238.2137,33.2411
180,136.2939,110.7173,243.767,33.6807
190,144.1238,117.0217,250.0324,35.0726
200,149.8677,121.7362,253.7836,35.1184
210,159.1613,127.9676,278.7748,36.736
220,166.7519,134.8301,278.9089,37.5294
230,175.66,142.0008,292.2369,37.8861
240,179.7838,146.1257,294.5451,38.2533
250,187.1884,158.8426,299.4293,37.6171
260,195.1692,162.3542,307.4419,38.4241
270,199.8353,164.2244,315.481,40.1118
280,209.258,172.9455,328.5199,40.1327
290,212.5672,175.9299,314.8715,40.2435
300,220.9507,182.4472,324.4418,40.839
