Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11988177199964412,0.3,0.006051778793334961,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12730057601584122,0.4,0.011400938034057617,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21589673100970685,0.5,0.00846099853515625,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31515181899885647,0.6,0.010591268539428711,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41645549100940116,0.7,0.012059211730957031,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5168247140245512,0.8,0.011276721954345703,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6181227600027341,0.9,0.012203693389892578,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7183883350226097,1.0,0.00850677490234375,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8144244650029577,1.1,0.008562326431274414,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9154373360215686,1.2,0.008377313613891602,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1154059590189718,1.3,0.00680088996887207,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12351099299849,1.4,0.009425163269042969,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2154498440213501,1.5,0.008356094360351562,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
