Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.00861048698425293,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11917876100051217,0.3,0.006671428680419922,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12806308700237423,0.4,0.008582592010498047,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21404735100804828,0.5,0.009285211563110352,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3160282490134705,0.6,0.008718490600585938,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4140492510050535,0.7,0.008552074432373047,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5151884980150498,0.8,0.008847713470458984,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.614144651015522,0.9,0.009166955947875977,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7159693650028203,1.0,0.008409738540649414,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8134413869993296,1.1,0.009287834167480469,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9158939810004085,1.2,0.00934600830078125,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0139657330000773,1.3,0.007280826568603516,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2116474020003807,1.4,0.006335020065307617,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2197078400058672,1.5,0.008903264999389648,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06013083457946777
