Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12349980301223695,0.4,0.008650541305541992,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2148156249895692,0.5,0.008555173873901367,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31499722800799645,0.6,0.009442329406738281,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4154078449937515,0.7,0.009135723114013672,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5151963010139298,0.8,0.01070713996887207,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.617045605002204,0.9,0.008962631225585938,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7149907830171287,1.0,0.008736610412597656,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8152568940131459,1.1,0.009163379669189453,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9157465500175022,1.2,0.008742332458496094,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1158128090028185,1.3,0.006797313690185547,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1252731540007517,1.4,0.009178638458251953,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.21545414000866,1.5,0.008970975875854492,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
