Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v1_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],MachE_accCmd [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.022447586059570312,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.05,0.009918212890625,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.1,0.008615970611572266,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.15,0.010016679763793945,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.2,0.009520530700683594,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.25,0.008118629455566406,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.3,0.00835561752319336,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.35,0.00839376449584961,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.4,0.008076667785644531,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.45,0.008244752883911133,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.5,0.00878453254699707,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.55,0.008568286895751953,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.6,0.009418249130249023,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.65,0.009335994720458984,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.7,0.009258031845092773,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
0.0,0.75,0.01835036277770996,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3171676616810905
0.0,0.8,0.004298210144042969,20.0,0.0,0.0,0.0,0.0007208355947297512,0.0,0.014416711894595024,0.28833423789190044,0.30443673960658946
0.0,0.85,0.0042150020599365234,20.0,0.0,0.0,0.0,0.0021335728703835693,0.0,0.028254745513076364,0.2767606723696268,0.30252134353931975
0.0,0.9,0.0042688846588134766,20.0,0.0,0.0,0.0,0.004233858654081296,0.0,0.04200571567395454,0.27501940321756346,0.3002222795088283
0.0,0.95,0.004150390625,20.0,0.0,0.0,0.0,0.007016467800299088,0.0,0.05565218292435582,0.2729293450080257,0.2978635732875545
0.0,1.0,0.004101991653442383,20.0,0.0,0.0,0.0,0.010476039613079503,0.0,0.06919143625560831,0.2707850666250497,0.2954981263937585
0.0,1.05,0.0040988922119140625,20.0,0.0,0.0,0.0,0.014607198076754825,0.0,0.08262316927350642,0.2686346603579623,0.29310770945419073
0.0,1.1,0.0041429996490478516,20.0,0.0,0.0,0.0,0.019404510425553308,0.0,0.09594624697596964,0.2664615540492643,0.2907158101678738
0.0,1.15,0.0040607452392578125,20.0,0.0,0.0,0.0,0.02486254052473332,0.0,0.10916060198360027,0.2642871001526126,0.2882912325466747
0.0,1.2,0.0041501522064208984,20.0,0.0,0.0,0.0,0.030975777970610324,0.0,0.12226474891754002,0.2620829386787951,0.2858675498830573
0.0,1.25,0.004124164581298828,20.0,0.0,0.0,0.0,0.03773871439349427,0.0,0.135258728457679,0.25987959080277956,0.28343080522055364
0.0,1.3,0.004074811935424805,20.0,0.0,0.0,0.0,0.04514581173733403,0.0,0.14814194687679508,0.25766436838232154,0.2809944585473051
0.0,1.35,0.004113912582397461,20.0,0.0,0.0,0.0,0.05319153285059948,0.0,0.16091442226530894,0.2554495077702773,0.2785257934025662
0.0,1.4,0.004103183746337891,20.0,0.0,0.0,0.0,0.06187026713068894,0.0,0.17357468560178924,0.25320526672960586,0.27609808375713046
0.0,1.45,0.004029035568237305,20.0,0.0,0.0,0.0,0.07117649705568097,0.0,0.18612459849984062,0.2509982579610276,0.27390729781179896
0.0,1.5,0.004000425338745117,20.0,0.0,0.0,0.0,0.0811052435666089,0.0,0.19857493021855874,0.24900663437436243,0.2717481998533948
0.0,1.55,0.004155635833740234,20.0,0.0,0.0,0.0,0.0916515996226582,0.0,0.21092712112098577,0.2470438180485407,0.2695619805886837
0.0,1.6,0.004386186599731445,20.0,0.0,0.0,0.0,0.10281059654368177,0.0,0.2231799384204714,0.2450563459897126,0.267373475523029
0.0,1.65,0.004318952560424805,20.0,0.0,0.0,0.0,0.1145772604545304,0.0,0.23533327821697272,0.24306679593002645,0.26515144594470014
0.0,1.7,0.0041179656982421875,20.0,0.0,0.0,0.0,0.12694654128798064,0.0,0.24738561666900455,0.2410467690406365,0.26292946854099675
0.0,1.75,0.004034757614135742,20.0,0.0,0.0,0.0,0.13991338909538767,0.0,0.2593369561481408,0.23902678958272472,0.26069358822226096
0.0,1.8,0.004253387451171875,20.0,0.0,0.0,0.0,0.15347272233057258,0.0,0.2711866647036981,0.23699417111114673,0.2584572668955964
0.0,1.85,0.004068851470947266,20.0,0.0,0.0,0.0,0.16761945844506565,0.0,0.2829347222898616,0.2349611517232697,0.2561877900189172
0.0,1.9,0.004589080810546875,20.0,0.0,0.0,0.0,0.18234843953687446,0.0,0.29457962183617603,0.2328979909262885,0.2539181679858203
0.0,1.95,0.004100799560546875,20.0,0.0,0.0,0.0,0.1976545073741056,0.0,0.30612135674462243,0.230834698168928,0.2516311945972098
0.0,2.0,0.00421452522277832,20.0,0.0,0.0,0.0,0.21353246428996672,0.0,0.3175591383172229,0.22875563145200895,0.2495194370807881
0.0,2.05,0.004156589508056641,20.0,0.0,0.0,0.0,0.22997751083555693,0.0,0.32890093091180417,0.2268358518916258,0.24848091073745374
0.0,2.1,0.004111766815185547,20.0,0.0,0.0,0.0,0.24698728672373227,0.0,0.3401955177635066,0.22589173703404852,0.24757164844715546
0.0,2.15,0.004045009613037109,20.0,0.0,0.0,0.0,0.2645597254492875,0.0,0.35144877451110457,0.22506513495195946,0.24661705513763701
0.0,2.2,0.004037141799926758,20.0,0.0,0.0,0.0,0.28269265748197375,0.0,0.36265864065372444,0.22419732285239746,0.24565548594320372
0.0,2.25,0.004037141799926758,20.0,0.0,0.0,0.0,0.3013838974372582,0.0,0.3738247991056882,0.22332316903927563,0.24467285130629332
0.0,2.3,0.004267454147338867,20.0,0.0,0.0,0.0,0.3206312120546024,0.0,0.3849462923468834,0.22242986482390315,0.24368264157306477
0.0,2.35,0.006355762481689453,20.0,0.0,0.0,0.0,0.34043235085733986,0.0,0.39602277605474995,0.22152967415733138,0.2426521652078128
0.0,2.4,0.00426173210144043,20.0,0.0,0.0,0.0,0.3607849718537315,0.0,0.40705241992783237,0.22059287746164835,0.24161445576065663
0.0,2.45,0.004106760025024414,20.0,0.0,0.0,0.0,0.3816867166132155,0.0,0.4180348951896804,0.2196495052369607,0.24055233015381117
0.0,2.5,0.004048347473144531,20.0,0.0,0.0,0.0,0.4031351712139582,0.0,0.4289690920148536,0.2186839365034643,0.23951457335971885
0.0,2.55,0.004084348678588867,20.0,0.0,0.0,0.0,0.42512797711779116,0.0,0.43985611807665903,0.21774052123610832,0.23863787973724343
0.0,2.6,0.0053937435150146484,20.0,0.0,0.0,0.0,0.44766314183920874,0.0,0.45070329442835194,0.21694352703385822,0.23788057495260737
0.0,2.65,0.00421142578125,20.0,0.0,0.0,0.0,0.4707389442309732,0.0,0.46151604783528866,0.2162550681387343,0.23774050736823338
0.0,2.7,0.006012439727783203,20.0,0.0,0.0,0.0,0.49435506595766543,0.0,0.4723224345338447,0.21612773397112095,0.23767149171691904
0.0,2.75,0.004090547561645508,20.0,0.0,0.0,0.0,0.5185113501655325,0.0,0.48312568415734103,0.2160649924699265,0.237573535602996
0.0,2.8,0.0040743350982666016,20.0,0.0,0.0,0.0,0.5432075742270427,0.0,0.4939244812302045,0.21597594145726928,0.23746299565494167
0.0,2.85,0.0053675174713134766,20.0,0.0,0.0,0.0,0.5684434869150414,0.0,0.5047182537599746,0.21587545059540192,0.2373071025723814
0.0,2.9,0.005095720291137695,20.0,0.0,0.0,0.0,0.5942187339270683,0.0,0.5155049402405374,0.21573372961125603,0.23713890975745863
0.0,2.95,0.004122257232666016,20.0,0.0,0.0,0.0,0.6205329330067257,0.0,0.5262839815931492,0.21558082705223525,0.2369412507243238
0.0,3.0,0.0042231082916259766,20.0,0.0,0.0,0.0,0.6473856349289385,0.0,0.5370540384442548,0.21540113702211316,0.23676292712271818
