run,controller_rows,simu5g_packet_rows,direct_fallback_rows,controller_ok_rows,actuation_ok_rows,avg_nv0_info_age,max_nv0_info_age,delivered_status_packets,avg_status_packet_delay,max_status_packet_delay,delivered_noise_packets,avg_noise_packet_delay,max_noise_packet_delay
baseline,126,121,5,126,126,0.09603174603174604,0.1,122,0.01637704918032787,0.03,0,0.0,0.0
stress,126,121,5,126,126,1.761111111111111,5.6,67,0.9411940298507463,5.598,1050,2.8410190476190476,5.598
