Realtime [sec],Sim Time [sec],Sim Time from MPC [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2],gap [m],headway [s],ttc [s]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,49.900001525878906,0.009325742721557617,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4015547037124634,16.8,inf,inf
0.11847903300008511,0.3,49.900001525878906,0.007380247116088867,20.0,0.0,0.0,0.0,0.013563432616572228,0.0,0.13563432616572227,1.3563432616572226,1.4015547037124634,16.78643656738343,123.76245042035477,123.76245042035477
0.12935440900014328,0.4,49.900001525878906,0.007867813110351562,20.0,0.0,0.0,0.0,0.040690297849716686,0.0,0.27126865233144454,1.3563432616572226,1.4015547037124634,16.759309702150283,61.781225210177375,61.781225210177375
0.21231743700013794,0.5,0.30000001192092896,0.007790327072143555,20.0,0.0,0.0,0.0,0.08138059569943337,0.0,0.40690297849716683,1.3563432616572229,0.026923730969429016,16.71861940430057,41.087483473451584,41.087483473451584
0.3121822800001155,0.6,0.4000000059604645,0.007724285125732422,20.0,0.0,0.0,0.0,0.12233144578433808,0.0,0.40950850084904705,0.026055223518802184,0.00859431829303503,16.677668554215664,40.726061900149375,40.726061900149375
0.4122498379999797,0.7,0.5,0.007409334182739258,20.0,0.0,0.0,0.0,0.16336546669143345,0.0,0.41034020907095364,0.008317082219065908,-0.009828160516917706,16.636634533308566,40.54351527230386,40.54351527230386
0.5115591350001978,0.8,0.6000000238418579,0.00787210464477539,20.0,0.0,0.0,0.0,0.20430437636771995,0.0,0.40938909676286483,-0.009511123080888084,0.03778752684593201,16.59569562363228,40.53770790394351,40.53770790394351
0.6139394310000625,0.9,0.699999988079071,0.007661581039428711,20.0,0.0,0.0,0.0,0.24560897178767674,0.0,0.4130459541995679,0.03656857436703076,0.03803800791501999,16.554391028212326,40.07881171549711,40.07881171549711
0.7127248379999855,1.0,0.800000011920929,0.008458852767944336,20.0,0.0,0.0,0.0,0.28728167696164986,0.0,0.4167270517397311,0.03681097540163214,0.03853088989853859,16.51271832303835,39.62478138652599,39.62478138652599
0.8129566470001919,1.1,0.8999999761581421,0.007025957107543945,20.0,0.0,0.0,0.0,0.32932726171528626,0.0,0.4204558475363639,0.03728795796632767,0.036087144166231155,16.470672738284716,39.17337060429447,39.17337060429447
0.9103809850000744,1.2,1.100000023841858,0.007793426513671875,20.0,0.0,0.0,0.0,0.3717220768963378,0.0,0.4239481518105153,0.034923042741514254,0.03449539840221405,16.428277923103664,38.75067706497828,38.75067706497828
1.1140491080000174,1.3,1.100000023841858,0.006799221038818359,20.0,0.0,0.0,0.0,0.41445071851353976,0.0,0.4272864161720199,0.03338264361504584,0.03449539840221405,16.385549281486462,38.34792930765638,38.34792930765638
1.1228414660001818,1.4,1.100000023841858,0.009029388427734375,20.0,0.0,0.0,0.0,0.4575131865668922,0.0,0.4306246805335245,0.03338264361504584,0.03449539840221405,16.34248681343311,37.95065065287365,37.95065065287365
1.2132520990001012,1.5,1.2999999523162842,0.007971048355102539,20.0,0.0,0.0,0.0,0.5009094810563951,0.0,0.43396294489502907,0.03338264361504584,0.03313922882080078,16.299090518943604,37.55871488724959,37.55871488724959
1.3119289790001858,1.6,1.399999976158142,0.00866246223449707,20.0,0.0,0.0,0.0,0.5446264777602928,0.0,0.43716996703897754,0.03207022143948468,0.03239719197154045,16.255373522239708,37.18318902906338,37.18318902906338
1.411570035000068,1.7,1.5,0.008997917175292969,20.0,0.0,0.0,0.0,0.5886569956768184,0.0,0.44030517916525563,0.031352121262780974,0.031652871519327164,16.211343004323183,36.81842451877844,36.81842451877844
1.5132422159999805,1.8,1.600000023841858,0.007646322250366211,20.0,0.0,0.0,0.0,0.6329938317048214,0.0,0.44336836028002924,0.030631811147736054,0.030971497297286987,16.167006168295178,36.464050249513015,36.464050249513015
1.6136241630001678,1.9,1.7000000476837158,0.0077648162841796875,20.0,0.0,0.0,0.0,0.6776303919002173,0.0,0.44636560195396024,0.02997241673931006,0.03027602657675743,16.122369608099785,36.11920259429557,36.11920259429557
1.7135266080001657,2.0,1.7999999523162842,0.008311271667480469,20.0,0.0,0.0,0.0,0.7225599459011949,0.0,0.4492955400097755,0.02929938055815262,0.02958817034959793,16.077440054098805,35.783662695047006,35.783662695047006
1.8139664720001747,2.1,1.899999976158142,0.009327411651611328,20.0,0.0,0.0,0.0,0.7677758370345878,0.0,0.45215891133393016,0.02863371324154651,0.028904864564538002,16.032224162965413,35.45705671412773,35.45705671412773
1.91531259400017,2.2,2.0,0.00886678695678711,20.0,0.0,0.0,0.0,0.8132714526637668,0.0,0.45495615629178865,0.027972449578584913,0.02822904661297798,15.986728547336234,35.13905312907352,35.13905312907352
2.0150091240000165,2.3,2.200000047683716,0.008181095123291016,20.0,0.0,0.0,0.0,0.8590402526150067,0.0,0.4576879995123994,0.027318432206107635,0.026897527277469635,15.940959747384994,34.82931552579004,34.82931552579004
2.213051159000088,2.4,2.200000047683716,0.006703853607177734,20.0,0.0,0.0,0.0,0.9050693512173189,0.0,0.4602909860231223,0.026029865107228822,0.026897527277469635,15.894930648782683,34.53235264525518,34.53235264525518
2.222728459000109,2.5,2.200000047683716,0.008692026138305664,20.0,0.0,0.0,0.0,0.9513587484707035,0.0,0.4628939725338452,0.026029865107228822,0.026897527277469635,15.848641251529298,34.23816725194126,34.23816725194126
2.3143888690001404,2.6,2.4000000953674316,0.008538484573364258,20.0,0.0,0.0,0.0,0.9979084443751602,0.0,0.46549695904456806,0.026029865107228822,0.025624454021453857,15.802091555624841,33.946712752020154,33.946712752020154
2.4144040660000883,2.7,2.5,0.008900642395019531,20.0,0.0,0.0,0.0,1.0447061188669213,0.0,0.467976744917612,0.02479785873043927,0.02495863474905491,15.755293881133081,33.66683078217236,33.66683078217236
2.514960280000196,2.8,2.5999999046325684,0.0082550048828125,20.0,0.0,0.0,0.0,1.0917453285336733,0.0,0.4703920966675205,0.024153517499085342,0.02429102547466755,15.708254671466328,33.393959598281974,33.393959598281974
2.6132158770001297,2.9,2.700000047683716,0.008640050888061523,20.0,0.0,0.0,0.0,1.1390196126405028,0.0,0.4727428410682948,0.02350744400774263,0.02368287742137909,15.660980387359498,33.12790597096961,33.12790597096961
2.714532231000021,3.0,2.799999952316284,0.008230447769165039,20.0,0.0,0.0,0.0,1.1865230858836682,0.0,0.47503473243165406,0.022918913633592775,0.023060375824570656,15.613476914116333,32.868074370462445,32.868074370462445
2.814515591000145,3.1,2.9000000953674316,0.00780177116394043,20.0,0.0,0.0,0.0,1.234249724054168,0.0,0.47726638170499963,0.022316492733455706,0.022444969043135643,15.565750275945831,32.61438658289384,32.61438658289384
2.914188860000195,3.2,3.0,0.008973360061645508,20.0,0.0,0.0,0.0,1.2821935716025048,0.0,0.4794384754833676,0.021720937783679672,0.02183377556502819,15.517806428397495,32.36662725650568,32.36662725650568
3.015022429000055,3.3,3.0999999046325684,0.009300470352172852,20.0,0.0,0.0,0.0,1.3303487137530838,0.0,0.48155142150578967,0.021129460224220686,0.021229615435004234,15.469651286246918,32.12460932598644,32.12460932598644
3.1166744290001134,3.4,3.299999952316284,0.008056640625,20.0,0.0,0.0,0.0,1.3787093037949694,0.0,0.4836059004188546,0.020544789130649277,0.020040055736899376,15.42129069620503,31.88813594467838,31.88813594467838
3.3135291420001067,3.5,3.299999952316284,0.007496356964111328,20.0,0.0,0.0,0.0,1.4272638298601152,0.0,0.48554526065145776,0.0193936023260316,0.020040055736899376,15.372736170139884,31.66076865731164,31.66076865731164
3.324227090000022,3.6,3.299999952316284,0.008046865463256836,20.0,0.0,0.0,0.0,1.4760122919485212,0.0,0.4874846208840609,0.0193936023260316,0.020040055736899376,15.32398770805148,31.43481261062388,31.43481261062388
3.4136352049999914,3.7,3.5,0.008489131927490234,20.0,0.0,0.0,0.0,1.5249546900601876,0.0,0.4894239811166641,0.0193936023260316,0.01890375465154648,15.275045309939813,31.210251028338348,31.210251028338348
3.514841687000171,3.8,3.5999999046325684,0.008085012435913086,20.0,0.0,0.0,0.0,1.574080027732998,0.0,0.49125337672810404,0.018293956114399657,0.018309826031327248,15.225919972267004,30.994026084209807,30.994026084209807
3.61254951900014,3.9,3.700000047683716,0.008765935897827148,20.0,0.0,0.0,0.0,1.6233825572706277,0.0,0.493025295376297,0.017719186481929827,0.017714571207761765,15.176617442729373,30.782634451130868,30.782634451130868
3.7158343539999805,4.0,3.799999952316284,0.00792241096496582,20.0,0.0,0.0,0.0,1.6728565181425261,0.0,0.49473960871898365,0.01714313342686624,0.01717265322804451,15.127143481857473,30.57597009672581,30.57597009672581
3.813244754000152,4.1,3.9000000953674316,0.008330345153808594,20.0,0.0,0.0,0.0,1.7224966659811476,0.0,0.4964014783862138,0.016618696672301425,0.016618167981505394,15.077503334018854,30.373606829365944,30.373606829365944
3.912586496000131,4.2,4.0,0.008175373077392578,20.0,0.0,0.0,0.0,1.772297634800235,0.0,0.4980096881908756,0.016082098046618087,0.016070259734988213,15.027702365199765,30.175522126469144,30.175522126469144
4.013464505000002,4.3,4.099999904632568,0.009268760681152344,20.0,0.0,0.0,0.0,1.8222541222619193,0.0,0.4995648746168422,0.015551864259665815,0.015526356175541878,14.97774587773808,29.98158325127594,29.98158325127594
4.115274707000026,4.4,4.199999809265137,0.008469820022583008,20.0,0.0,0.0,0.0,1.8723608647833667,0.0,0.5010674252144752,0.015025505976330455,0.014988969080150127,14.927639135216634,29.791677494954012,29.791677494954012
4.214586955000186,4.5,4.400000095367432,0.0074536800384521484,20.0,0.0,0.0,0.0,1.9226126618442996,0.0,0.5025179706093285,0.01450545394853231,0.01393165159970522,14.8773873381557,29.605682201008882,29.605682201008882
4.412841232000119,4.6,4.400000095367432,0.006564140319824219,20.0,0.0,0.0,0.0,1.9729992813400683,0.0,0.503866194957687,0.013482243483585732,0.01393165159970522,14.827000718659932,29.42646453966822,29.42646453966822
4.422773922000033,4.7,4.400000095367432,0.008341789245605469,20.0,0.0,0.0,0.0,2.0235207232706727,0.0,0.5052144193060456,0.013482243483585732,0.01393165159970522,14.77647927672933,29.247936543509713,29.247936543509713
4.512688248000131,4.8,4.400000095367432,0.007842302322387695,20.0,0.0,0.0,0.0,2.074176987636113,0.0,0.5065626436544042,0.013482243483585732,0.01393165159970522,14.725823012363886,29.07009270586954,29.07009270586954
4.614309911000191,4.9,4.699999809265137,0.008238077163696289,20.0,0.0,0.0,0.0,2.124968074436389,0.0,0.5079108680027627,0.013482243483585732,0.01239565946161747,14.675031925563612,28.892927578552598,28.892927578552598
4.714531298000111,5.0,4.800000190734863,0.008373737335205078,20.0,0.0,0.0,0.0,2.175879119231455,0.0,0.5091104479506612,0.011995799478984326,0.011867713183164597,14.624120880768547,28.724849273149857,28.724849273149857
4.812445492000052,5.1,4.900000095367432,0.004379987716674805,20.0,0.0,0.0,0.0,2.2269050128637775,0.0,0.5102589363232255,0.011484883725643158,0.011338850483298302,14.573094987136223,28.560195519838654,28.560195519838654
4.908130733000007,5.2,5.0,0.008424758911132812,20.0,0.0,0.0,0.0,2.2780406373072286,0.0,0.5113562444345124,0.010973081112869432,0.010882950387895107,14.521959362692773,28.398908824809606,28.398908824809606
5.014178430000129,5.3,5.099999904632568,0.007996320724487305,20.0,0.0,0.0,0.0,2.3292815806254015,0.0,0.512409433181728,0.010531887472156054,0.010397722013294697,14.470718419374599,28.240538683140326,28.240538683140326
