Realtime [sec],Sim Time [sec],Sim Time from MPC [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
28.41642169499937,28.6,26.5,0.011343002319335938,75.19526200000003,-76146229#1_0,2.25884,1.4917880000000006,58.67135948067406,-76146229#1_0,3.3172502610982626,0.21234802180720713,0.21106906235218048
28.515476725000553,28.7,26.600000381469727,0.011452674865722656,75.43604600000003,-76146229#1_0,2.40784,1.4900000000000002,59.0051271106131,-76146229#1_0,3.337676299390409,0.20426038292146398,0.20209500193595886
28.61564011399969,28.8,26.700000762939453,0.010480642318725586,75.69173000000004,-76146229#1_0,2.55684,1.4899999999999958,59.3408504986354,-76146229#1_0,3.357233880222921,0.19557580832512134,0.1897469162940979
28.706955607000054,28.9,26.799999237060547,0.0038924217224121094,75.96231400000003,-76146229#1_0,2.70584,1.4900000000000002,59.67841014713795,-76146229#1_0,3.375596485025576,0.18362604802654836,0.1770642101764679
28.81002106500091,29.0,26.899999618530273,0.007077932357788086,76.24779800000003,-76146229#1_0,2.85484,1.4900000000000002,60.017683320255124,-76146229#1_0,3.392731731171686,0.1713524614610984,0.16413772106170654
28.914269597000384,29.1,27.0,0.008084535598754883,76.54816412000004,-76146229#1_0,3.0036612,1.4882119999999999,60.35854492293095,-76146229#1_0,3.4086160267583026,0.15884295586616748,0.15108077228069305
29.01079164800103,29.2,27.0,0.008171319961547852,76.86315012000004,-76146229#1_0,3.14986,1.4619880000000007,60.700868597596596,-76146229#1_0,3.423236746656434,0.1462071989813163,0.15108077228069305
29.111610006000774,29.3,27.200000762939453,0.007317543029785156,77.19273812000004,-76146229#1_0,3.29588,1.4602000000000004,61.04465434425205,-76146229#1_0,3.437857466554566,0.1462071989813163,0.12449578195810318
29.211058418000903,29.4,27.200000762939453,0.004529237747192383,77.53692812000004,-76146229#1_0,3.4419,1.4602000000000004,61.38964488879743,-76146229#1_0,3.4499054454537372,0.12047978899171419,0.12449578195810318
29.310398576999432,29.5,27.299999237060547,0.007257938385009766,77.89572012000004,-76146229#1_0,3.58792,1.4602000000000004,61.73584023123272,-76146229#1_0,3.4619534243529086,0.12047978899171419,0.10922083258628845
29.410014275999856,29.6,27.399999618530273,0.00632786750793457,78.26911412000004,-76146229#1_0,3.73394,1.4602000000000004,62.08309254946723,-76146229#1_0,3.47252318234513,0.10569757992221263,0.09383489191532135
29.511421094999605,29.7,27.600000381469727,0.006945610046386719,78.65698496000005,-76146229#1_0,3.8787084,1.447683999999998,62.431252947300926,-76146229#1_0,3.4816039783369352,0.09080795991805335,0.06248971447348595
29.607356210000944,29.8,27.600000381469727,0.004697322845458984,79.05749696000005,-76146229#1_0,4.00512,1.2641159999999996,62.780018084306946,-76146229#1_0,3.487651370060176,0.06047391723240647,0.06248971447348595
29.71554886999911,29.9,27.799999237060547,0.011279582977294922,79.47052496000005,-76146229#1_0,4.13028,1.2516000000000016,63.12938796048529,-76146229#1_0,3.4936987617834165,0.06047391723240647,0.030808860436081886
29.808035323001604,30.0,27.899999618530273,0.005005598068237305,79.89606896000005,-76146229#1_0,4.25544,1.2516000000000016,63.479055986925914,-76146229#1_0,3.496680264406263,0.02981502622846577,0.012816132046282291
29.908285301999058,30.1,28.0,0.005347013473510742,80.33412896000004,-76146229#1_0,4.3806,1.2516000000000016,63.82884804045086,-76146229#1_0,3.4979205352494516,0.012402708431884513,-0.005392747465521097
30.01430009499927,30.2,28.0,0.009345293045043945,80.78470496000004,-76146229#1_0,4.50576,1.2516000000000016,64.1785879060971,-76146229#1_0,3.4973986564624657,-0.00521878786985841,-0.005392747465521097
30.115337690998786,30.3,28.100000381469727,0.009329557418823242,81.24736784000004,-76146229#1_0,4.6266288,1.2086879999999933,64.52827558386466,-76146229#1_0,3.49687677767548,-0.00521878786985841,-0.023793676868081093
30.214246172001367,30.4,28.200000762939453,0.010032415390014648,81.71582384000004,-76146229#1_0,4.68456,0.5793120000000052,64.87773300024315,-76146229#1_0,3.4945741637850203,-0.02302613890459604,-0.04206845164299011
30.312133199999153,30.5,28.299999237060547,0.008512258529663086,82.18964384000004,-76146229#1_0,4.7382,0.5363999999999969,65.2267833025735,-76146229#1_0,3.4905030233034404,-0.0407114048157986,-0.060227733105421066
30.41378229699876,30.6,28.399999618530273,0.007967710494995117,82.66882784000005,-76146229#1_0,4.79184,0.5363999999999969,65.57525075587378,-76146229#1_0,3.4846745330029156,-0.05828490300524791,-0.07815341651439667
30.511394051000025,30.7,28.5,0.008165121078491211,83.15337584000005,-76146229#1_0,4.84548,0.5364000000000058,65.92296188578845,-76146229#1_0,3.4771112991466837,-0.07563233856231921,-0.09276990592479706
