Config,Group,Controller,RMS_Speed_Dev_pct,RMS_Gap_Dev_pct,CollisionRate_per_s
3veh_avg,2s\19s,PCF-IDA,-14.7650380924886,-21.9076290904855,0.00557413600891862
3veh_avg,2s\20s,PCF,75.4562952863548,-35.1821616426295,0.0278706800445931
3veh_avg,2s\20s,PCF-I,4.6009415553206,2.20212232575595,0.00557413600891862
3veh_avg,2s\20s,PCF-IDA,-12.9434522147201,-19.3743273688,0.00557413600891862
3veh_avg,1s\20s,PCF,9.82577411428325,-14.2031609428416,0.0111482720178372
3veh_avg,1s\20s,PCF-I,2.43691854762493,0.979686908831585,0.00557413600891862
3veh_avg,1s\20s,PCF-IDA,-0.405674743925285,-4.12111993386755,0.00557413600891862
3veh_avg,0.5s\20s,PCF,-6.52811539510551,-5.40048529278429,0.00557413600891862
3veh_avg,0.5s\20s,PCF-I,1.26800315691237,0.547981234703469,0.00557413600891862
3veh_avg,0.5s\20s,PCF-IDA,1.21923032668006,-0.256868812277366,0.00557413600891862
3veh_avg,2s\10s,PCF,97.2711566504769,-43.5918629755421,0.0334448160535117
3veh_avg,2s\10s,PCF-I,3.27879787944144,0.359684324693971,0.00557413600891862
3veh_avg,2s\10s,PCF-IDA,-9.9521944593606,-19.1336834833731,0.00557413600891862
3veh_avg,1.5s\10s,PCF,55.4230981437443,-24.5096408112504,0.0111482720178372
3veh_avg,1.5s\10s,PCF-I,2.20529742631429,-0.372966268610396,0.00557413600891862
3veh_avg,1.5s\10s,PCF-IDA,-5.08160528950519,-11.9292421382506,0.00557413600891862
3veh_avg,1s\10s,PCF,18.2616847371758,-17.2792756983462,0.0111482720178372
3veh_avg,1s\10s,PCF-I,2.08199773816661,0.00219295818105472,0.00557413600891862
3veh_avg,1s\10s,PCF-IDA,-1.02450750077123,-5.67827599960554,0.00557413600891862
3veh_avg,0.75s\10s,PCF,2.15112451297162,-11.6121486642142,0.00557413600891862
3veh_avg,0.75s\10s,PCF-I,1.46420265621258,0.00844385026552162,0.00557413600891862
3veh_avg,0.75s\10s,PCF-IDA,-1.69976367697049,-6.27060136514352,0.00557413600891862
3veh_avg,0.5s\10s,PCF,-3.30528191605655,-9.24406489172938,0.00557413600891862
3veh_avg,0.5s\10s,PCF-I,0.978827490696786,-0.161136303112088,0.00557413600891862
3veh_avg,0.5s\10s,PCF-IDA,0.62346397616508,-1.58025608146194,0.00557413600891862
3veh_avg,0.2s\10s,PCF,-3.50116480138584,-2.2651426541913,0.00557413600891862
3veh_avg,0.2s\10s,PCF-I,-0.281177934504308,-1.09186399831076,0.00557413600891862
3veh_avg,0.2s\10s,PCF-IDA,0.877774059987689,0.0928750612355379,0.00557413600891862
3veh_avg,0.1s\10s,PCF,0.547726648087048,-1.22034175724639,0.00557413600891862
3veh_avg,0.1s\10s,PCF-I,-0.643074772342402,-1.41094399002251,0.00557413600891862
3veh_avg,0.1s\10s,PCF-IDA,0.21428282807152,-0.258243469049496,0.00557413600891862
