Realtime [sec],Sim Time [sec],Sim Time from MPC [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2],v2_dist [m],v2_lane [-],v2_spd [m/s],v2_acc [m/s2],v2_accCmd [m/s2]
19.61885260100098,19.8,19.700000762939453,0.01301431655883789,51.935342840000004,-76146229#1_0,3.94254,1.2814000000000014,34.640167880705384,-76146229#1_0,3.81010831712722,1.264392522073563,1.3026162385940552,19.690456585251162,-76146229#1_0,3.2139085914551933,1.428362942663215,1.2984072387009196
19.717752402997576,19.9,19.799999237060547,0.014302968978881836,52.34241084000001,-76146229#1_0,4.07068,1.2814000000000014,35.033784676017405,-76146229#1_0,3.936167953120193,1.260596359929731,1.3227636814117432,20.024412675738947,-76146229#1_0,3.339560904877863,1.256523134226697,1.317608872963569
19.814852798001084,20.0,19.899999618530273,0.011403799057006836,52.76229284000001,-76146229#1_0,4.19882,1.2814000000000014,35.4402024101818,-76146229#1_0,4.06417734164391,1.2800938852371724,1.3268457651138306,20.371119819836057,-76146229#1_0,3.4670714409711114,1.2751053609324847,1.338518611803536
19.9168773220008,20.1,20.0,0.013411998748779297,53.19473852000001,-76146229#1_0,4.3244568,1.2563679999999966,35.85946058723439,-76146229#1_0,4.192581770525894,1.284044288819839,1.3176143169403076,20.730780369853846,-76146229#1_0,3.596605500177905,1.2953405920679373,1.3513001377896594
20.016407049999543,20.2,20.100000381469727,0.013009786605834961,53.63607652000001,-76146229#1_0,4.41338,0.8892319999999998,36.291469870579945,-76146229#1_0,4.320092833455601,1.2751106292970693,1.2773808240890503,21.10351801797928,-76146229#1_0,3.727376481254324,1.3077098107641882,1.3399055493427274
20.124415508998936,20.3,20.200000762939453,0.020472288131713867,54.08605652000001,-76146229#1_0,4.4998,0.864199999999995,36.73584090383604,-76146229#1_0,4.443710332560993,1.23617499105392,0.8144808411598206,21.489222494001577,-76146229#1_0,3.857044760222975,1.2966827896865096,1.2696604753218474
20.215253243000916,20.4,20.299999237060547,0.011697053909301758,54.544678520000005,-76146229#1_0,4.58622,0.8642000000000039,37.188094009748525,-76146229#1_0,4.522531059124847,0.7882072656385386,0.7885443568229675,21.887214006881827,-76146229#1_0,3.9799151288025088,1.2287036857953382,0.660841980127701
20.316599816000235,20.5,20.399999618530273,0.012898445129394531,55.011942520000005,-76146229#1_0,4.67264,0.8642000000000039,37.64797819008188,-76146229#1_0,4.598841803333522,0.7631074420867456,0.8413799405097961,22.291600764731054,-76146229#1_0,4.043867578492287,0.6395244968977787,0.6310122846323216
20.417874265000137,20.6,20.5,0.013373136520385742,55.48784852000001,-76146229#1_0,4.75906,0.864199999999995,38.11600475693629,-76146229#1_0,4.6802656685441475,0.8142386521062583,0.8398824334144592,22.702094093076724,-76146229#1_0,4.104933283456705,0.6106570496441854,0.8227121228896661
20.519146339000145,20.7,20.600000381469727,0.014051675796508789,55.97212832000001,-76146229#1_0,4.842798,0.8373800000000031,38.59215921830762,-76146229#1_0,4.761544613713289,0.8127894516914136,0.82582026720047,23.120549151643907,-76146229#1_0,4.184550585671834,0.7961730221512919,0.817358428154794
20.61308017400006,20.8,20.700000762939453,0.009755373001098633,56.46084832000001,-76146229#1_0,4.8872,0.4440199999999983,39.07630548871637,-76146229#1_0,4.841462704087528,0.7991809037423891,0.8152538537979126,23.546914130483557,-76146229#1_0,4.263649788396492,0.7909920272465776,0.7836918649887479
20.71546423700056,20.9,20.799999237060547,0.012073040008544922,56.95374032000001,-76146229#1_0,4.92892,0.4171999999999976,39.568341312548974,-76146229#1_0,4.920358238326036,0.7889553423850781,-0.5017217397689819,23.98086322414568,-76146229#1_0,4.3394909366212095,0.7584114822471744,0.7637794463023545
20.825268901000527,21.0,20.899999618530273,0.021022796630859375,57.45080432000001,-76146229#1_0,4.97064,0.41720000000000645,40.05552176470639,-76146229#1_0,4.871804521574199,-0.4855371675183662,-0.5956931114196777,24.422203731804274,-76146229#1_0,4.413405076585954,0.7391413996474405,-0.773814397773842
20.924484528000903,21.1,21.0,0.021991729736328125,57.95204032000001,-76146229#1_0,5.01236,0.4171999999999976,40.536937444817816,-76146229#1_0,4.81415680111423,-0.5764772045996924,-0.4791982173919678,24.8560557130328,-76146229#1_0,4.338519812285259,-0.7488526430069431,-0.735879897702415
21.027461031000712,21.2,21.100000381469727,0.024275779724121094,58.45744832000001,-76146229#1_0,5.05408,0.4171999999999976,41.013715722825445,-76146229#1_0,4.767782780076297,-0.4637402103793242,-0.4415660798549652,25.282786275896463,-76146229#1_0,4.267305628636638,-0.7121418364862109,-0.5261782397146211
21.127384958999755,21.3,21.200000762939453,0.02405071258544922,58.966724360000015,-76146229#1_0,5.0927604,0.38680400000000503,41.486220780705445,-76146229#1_0,4.72505057880001,-0.42732201276287185,-0.4206307828426361,25.704424791279017,-76146229#1_0,4.216385153825546,-0.509204748110923,-0.4778963782286575
21.231193708998035,21.4,21.299999237060547,0.02688002586364746,59.47541036000001,-76146229#1_0,5.08686,-0.05900400000000694,41.954655218106325,-76146229#1_0,4.684344374008787,-0.4070620479122322,-0.4989582300186157,26.121438503001293,-76146229#1_0,4.170137117222772,-0.46248036602773546,-0.44097879384224375
21.33334184499836,21.5,21.399999618530273,0.027648210525512695,59.983202360000014,-76146229#1_0,5.07792,-0.08939999999999948,42.41826102747476,-76146229#1_0,4.6360580936844045,-0.48286280324382425,-2.236403703689575,26.53418467800897,-76146229#1_0,4.1274617500767485,-0.42675367146023824,-0.5816062159550132
21.429884288998437,21.6,21.399999618530273,0.02680063247680664,60.490100360000014,-76146229#1_0,5.06898,-0.08939999999999948,42.86691181073454,-76146229#1_0,4.486507832597811,-1.4955026108659375,-2.236403703689575,26.941302405765466,-76146229#1_0,4.071177277564973,-0.5628447251177526,-1.744138098774689
21.52541627699975,21.7,21.600000381469727,0.02254629135131836,60.99610436000001,-76146229#1_0,5.06004,-0.08939999999999948,43.301089988082715,-76146229#1_0,4.3417817734817525,-1.4472605911605818,-2.194275140762329,27.335287303594335,-76146229#1_0,3.939848978288684,-1.3132829927628942,-1.4202547713397728
21.629836519998207,21.8,21.700000762939453,0.025677919387817383,61.50121436000001,-76146229#1_0,5.0511,-0.08939999999999948,43.7212624177745,-76146229#1_0,4.201724296917825,-1.4005747656392753,-2.1564760208129883,27.71656301117066,-76146229#1_0,3.8127570757632423,-1.2709190252544156,-1.286060538817223
21.734619923998252,21.9,21.799999237060547,0.031902313232421875,62.005019120000014,-76146229#1_0,5.0380476,-0.13052400000000297,44.12788089812138,-76146229#1_0,4.066184803468863,-1.3553949344896221,-2.1189801692962646,28.085539502373553,-76146229#1_0,3.689764912028944,-1.229921637342981,-1.1716176508932834
21.833657889997994,22.0,21.799999237060547,0.03007793426513672,62.501487120000014,-76146229#1_0,4.96468,-0.733675999999992,44.52138265329579,-76146229#1_0,3.935017551744061,-1.3116725172480193,-2.1189801692962646,28.443177758245223,-76146229#1_0,3.576382558716691,-1.1338235331225333,-1.1149415378338912
21.931638653997652,22.1,21.899999618530273,0.02737140655517578,62.990207120000015,-76146229#1_0,4.8872,-0.7748000000000044,44.90219080346457,-76146229#1_0,3.8080815016878007,-1.2693605005626019,-2.1978847980499268,28.790026257299147,-76146229#1_0,3.4684849905392174,-1.0789756817747342,-1.0564945846399545
22.028318183998636,22.2,22.100000381469727,0.024258852005004883,63.471179120000016,-76146229#1_0,4.80972,-0.7747999999999955,45.27071481975694,-76146229#1_0,3.685240162923678,-1.2284133876412273,-0.6019379496574402,29.126650615211393,-76146229#1_0,3.3662435791224476,-1.022414114167698,-1.0019714143688434
22.11722810699939,22.3,22.200000762939453,0.012155771255493164,63.94440312000002,-76146229#1_0,4.73224,-0.7748000000000044,45.63341363008488,-76146229#1_0,3.6269881032794093,-0.5825205964426861,-0.5759246945381165,29.45357847556523,-76146229#1_0,3.269278603538366,-0.9696497558408179,-0.5867592854944537
22.219132370999432,22.4,22.299999237060547,0.014439821243286133,64.40987912000001,-76146229#1_0,4.65476,-0.7748000000000044,45.99053897562697,-76146229#1_0,3.571253455420882,-0.5573464785852744,-0.6444848775863647,29.77482802025299,-76146229#1_0,3.2124954468776123,-0.5678315666075351,-0.5914891338817868
22.320272167999065,22.5,22.399999618530273,0.013481378555297852,64.86737468000001,-76146229#1_0,4.5749556,-0.7980439999999955,46.3414273707408,-76146229#1_0,3.5088839511383303,-0.6236950428255161,-0.6441102027893066,30.090353476548348,-76146229#1_0,3.1552545629535684,-0.5724088392404392,-0.5680953634403971
22.423017377001088,22.6,22.5,0.018871784210205078,65.31348068000001,-76146229#1_0,4.46106,-1.138956000000002,46.68608244131151,-76146229#1_0,3.446550705707107,-0.6233324543122309,-0.6193733811378479,30.400381235778152,-76146229#1_0,3.1002775922980463,-0.549769706555221,-0.5637216682756736
22.514751783000975,22.7,22.600000381469727,0.01202249526977539,65.74796468000001,-76146229#1_0,4.34484,-1.1622000000000021,47.02474357593573,-76146229#1_0,3.3866113462421543,-0.5993935946495288,-0.6653120517730713,30.704953624024643,-76146229#1_0,3.0457238824649164,-0.545537098331299,-0.5360956660855278
