Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v1_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],MachE_accCmd [m/s2]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11710766299984243,0.05,0.009978055953979492,20.0,0.0,0.0,0.0,0.006437465853539762,0.0,0.12874931707079523,2.5749863414159044,0.0
0.1297596540007362,0.1,0.015596628189086914,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5749863414159044,0.0
0.1461532100001932,0.15,0.0044667720794677734,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15095639799983473,0.2,0.004160642623901367,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1554152829994564,0.25,0.01282811164855957,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21777070300049672,0.3,0.011956214904785156,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2658215100000234,0.35,0.011540412902832031,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31717002100049285,0.4,0.013338327407836914,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3696660380010144,0.45,0.013694047927856445,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4163772810006776,0.5,0.012702226638793945,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46710650000022724,0.55,0.014068603515625,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5198282010005641,0.6,0.01602959632873535,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5713621659997443,0.65,0.012624263763427734,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6184356339999795,0.7,0.011150598526000977,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6662267459996656,0.75,0.012551069259643555,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
