Realtime [sec],Sim Time [sec],Sim Time from MPC [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2],v2_dist [m],v2_lane [-],v2_spd [m/s],v2_acc [m/s2],v2_accCmd [m/s2]
0.009529195998766227,0.2,nan,0.006318569183349609,40.0,76146229#1_0,0.0,0.0,20.0,76146229#1_0,0.0,0.0,nan,0.0,76146229#1_0,0.0,0.0,0.09435022914084283
0.12002892599775805,0.3,0.20000000298023224,0.013372659683227539,40.0,76146229#1_0,0.0,0.0,20.0,76146229#1_0,0.0,0.0,0.09435022622346878,0.0009130667336210597,76146229#1_0,0.009130667336210596,0.09130667336210596,0.08981119444804311
0.21532555600060732,0.4,0.30000001192092896,0.010263204574584961,40.0,76146229#1_0,0.0,0.0,20.000913066705387,76146229#1_0,0.009130667053884075,0.09130667053884074,0.09435022622346878,0.0026952740586747943,76146229#1_0,0.01782207325053735,0.08691405914326752,0.19864341104771688
0.3116316929990717,0.5,0.4000000059604645,0.0076274871826171875,40.0,76146229#1_0,0.0,0.0,20.002739200116164,76146229#1_0,0.01826133410776815,0.09130667053884074,0.08981119096279144,0.006399836974512886,76146229#1_0,0.037045629158380916,0.19223555907843567,0.1933730530762198
0.4188961189975089,0.6,0.5,0.014433622360229492,40.0,76146229#1_0,0.0,0.0,20.005434474084645,76146229#1_0,0.02695273968481248,0.08691405577044331,0.08857729285955429,0.01197575201689504,76146229#1_0,0.05575915042382154,0.18713521265440625,0.1868843897073359
0.519923193998693,0.7,0.6000000238418579,0.014271259307861328,40.0,76146229#1_0,0.0,0.0,20.008986947661445,76146229#1_0,0.035524735767995155,0.08571996083182674,0.08755549043416977,0.019360225669348186,76146229#1_0,0.07384473652453147,0.18085586100709927,0.18430921901365246
0.6201402919978136,0.8,0.699999988079071,0.014996051788330078,40.0,76146229#1_0,0.0,0.0,20.013386732435993,76146229#1_0,0.04399784774549546,0.08473111977500301,0.08642777055501938,0.02852833692515926,76146229#1_0,0.09168111255811073,0.17836376033579265,0.1818557016093831
0.7194433980002941,0.9,0.800000011920929,0.014556169509887695,40.0,76146229#1_0,0.0,0.0,20.018622914990107,76146229#1_0,0.05236182554114249,0.08363977795647036,0.0853000208735466,0.03945634206751275,76146229#1_0,0.1092800514235349,0.1759893886542417,0.1792877533883497
0.8186489639992942,1.0,0.8999999761581421,0.01454615592956543,40.0,76146229#1_0,0.0,0.0,20.02468458161719,76146229#1_0,0.06061666627084055,0.08254840729698058,0.08418486267328262,0.05211938998459221,76146229#1_0,0.12663047917079456,0.17350427747259659,0.17673723770239752
0.9198684410002897,1.1,1.0,0.014391183853149414,40.0,76146229#1_0,0.0,0.0,20.031560940463695,76146229#1_0,0.0687635884650292,0.08146922194188645,0.08307863026857376,0.06649279826653358,76146229#1_0,0.1437340828194137,0.17103603648619126,0.17421408941260152
