DisplayName,Scenario,Sweep,ClientCount,PacketSizeBytes,PacketRatePps,Samples,MeanDelay_s,MeanVsNominal_s,RMSDelay_s,StdDelay_s,PeakAbsDelay_s,PeakVsNominal_s
nominal,nominal,Nominal,NaN,NaN,NaN,801,0.200749079006888,0,0.206329322465392,0.0476910482443788,0.4,0.199250920993112
3,288B_10PPS_3C,Client count,3,288,10,801,0.201498162768753,0.000749083761865277,0.209213535890124,0.0563272136091043,0.400001525878906,0.199252446872018
6,288B_10PPS_6C,Client count,6,288,10,801,0.203121115689569,0.00237203668268132,0.209064274736768,0.0495252000137358,0.400000762939452,0.199251683932564
15,288B_10PPS_15C,Client count,15,288,10,801,0.407116054484014,0.206366975477126,0.453051739532549,0.198901451404788,1.10000076293945,0.899251683932564
21,288B_10PPS_21C,Client count,21,288,10,801,0.476529461383522,0.275780382376634,0.539905822966377,0.253965534215106,1.50000152587891,1.29925244687202
30,288B_10PPS_30C,Client count,30,288,10,801,1.00724081827163,0.806491739264737,1.36455936972145,0.921166416974423,5.70000038146973,5.49925130246284
50,288B_10PPS_50C,Client count,50,288,10,901,0.700776956090652,0.500027877083764,0.82742939395777,0.440188728309519,2.6,2.39925092099311
60,288B_10PPS_60C,Client count,60,288,10,901,0.915760409984155,0.715011330977267,1.26900662717327,0.878987032438236,5.90000076293945,5.69925168393256
70,288B_10PPS_70C,Client count,70,288,10,901,1.36825749681607,1.16750841780918,1.74726060464693,1.08724561760695,4.80000076293945,4.59925168393257
80,288B_10PPS_80C,Client count,80,288,10,901,1.03795787314993,0.837208794143041,1.28657370943727,0.760629667816597,4.19999923706055,3.99925015805366
90,288B_10PPS_90C,Client count,90,288,10,901,1.27458366419578,1.0738345851889,2.25568205514761,1.86209193985004,7.9,7.69925092099311
100,288B_10PPS_100C,Client count,100,288,10,901,2.80299696046094,2.60224788145405,4.2018855304703,3.13208203663509,14.5000015258789,14.299252446872
400,400B_10PPS_15C,Packet size,15,400,10,801,0.496379468659783,0.295630389652895,0.571613068534609,0.283635962752606,1.40000152587891,1.19925244687202
600,600B_10PPS_15C,Packet size,15,600,10,801,0.479650381092126,0.278901302085238,0.547585741039161,0.26433480243286,1.40000000000001,1.19925092099312
800,800B_10PPS_15C,Packet size,15,800,10,801,0.495131110765514,0.294382031758626,0.566060510840566,0.274524629480757,1.30000152587891,1.09925244687202
1000,1000B_10PPS_15C,Packet size,15,1000,10,801,0.501123613781399,0.300374534774511,0.569600271613157,0.270945091529388,1.30000076293945,1.09925168393257
1500,1500B_10PPS_15C,Packet size,15,1500,10,901,0.412874470864496,0.212125391857608,0.449811749339242,0.178607634271153,1.09999999999999,0.899250920993106
2000,2000B_10PPS_15C,Packet size,15,2000,10,901,0.564483961869821,0.363734882862933,0.660289570986113,0.342739773467087,2.20000038146973,1.99925130246284
2500,2500B_10PPS_15C,Packet size,15,2500,10,901,0.618091022432446,0.417341943425558,0.701124829193934,0.331151362177267,1.49999847412109,1.2992493951142
3500,3500B_10PPS_15C,Packet size,15,3500,10,901,0.691121120398635,0.490372041391747,0.783451334456057,0.369186762357965,2.5,2.29925092099311
4500,4500B_10PPS_15C,Packet size,15,4500,10,901,0.814650442405758,0.61390136339887,0.925025175337367,0.438439942369055,2.69999923706055,2.49925015805366
5500,5500B_10PPS_15C,Packet size,15,5500,10,901,0.948945685609199,0.748196606602311,1.08658453405736,0.529602995869045,3.09999847412109,2.89924939511421
6500,6500B_10PPS_15C,Packet size,15,6500,10,901,0.970255366606135,0.769506287599247,1.14282024937543,0.604191860628743,3.8000015258789,3.59925244687202
20,20PPS_15C,Packet rate,15,288,20,801,0.550936402192574,0.350187323185686,0.627371961799063,0.30029525473223,1.40000305175781,1.19925397275092
30,30PPS_15C,Packet rate,15,288,30,801,0.564793992169043,0.364044913162155,0.649017290647166,0.319935898198692,1.80000038146973,1.59925130246284
40,40PPS_15C,Packet rate,15,288,40,801,1.2443194393808,1.04357036037391,1.70764939348898,1.17023299105014,6.39999847412109,6.1992493951142
50,50PPS_15C,Packet rate,15,288,50,801,4.1018729094188,3.90112383041191,6.14122013204899,4.57332864273294,19.1000007629395,18.8992516839326
70,70PPS_15C,Packet rate,15,288,70,801,4.12072416738178,3.91997508837489,5.2795948356827,3.30263094483472,12.3000030517578,12.0992539727509
90,90PPS_15C,Packet rate,15,288,90,801,1.04781549324406,0.847066414237171,1.3890201577334,0.912413839943705,5.60000305175781,5.39925397275092
